"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/wjb/Desktop/mini-vue2/src/my-vue/core/instance/index.js", "JavaScript", 14, 0, 6, 20
"/Users/wjb/Desktop/mini-vue2/src/my-vue/core/instance/init.js", "JavaScript", 14, 0, 5, 19
"/Users/wjb/Desktop/mini-vue2/src/my-vue/core/instance/lifecycle.js", "JavaScript", 37, 1, 11, 49
"/Users/wjb/Desktop/mini-vue2/src/my-vue/core/instance/render-helpers/index.js", "JavaScript", 6, 0, 1, 7
"/Users/wjb/Desktop/mini-vue2/src/my-vue/core/instance/render.js", "JavaScript", 15, 0, 9, 24
"Total", "-", 86, 1, 32, 119
